"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
-8580,"Inside the UGA","MANHEIM TOWNSHIP",25817717.3351585,510,"(-8599,-8568]",1.97538765096588e-05
-9240,"Inside the UGA","MANHEIM TOWNSHIP",24767072.6302736,404,"(-9250,-9219]",1.63119802663387e-05
-9900,"Inside the UGA","MANHEIM TOWNSHIP",22538404.178575,359,"(-9901,-9870]",1.59283681823962e-05
-10560,"Inside the UGA","MANHEIM TOWNSHIP",19641314.3986052,379,"(-1.058e+04,-1.055e+04]",1.92960609615268e-05
-11220,"Inside the UGA","MANHEIM TOWNSHIP",19672574.577458,363,"(-1.123e+04,-1.12e+04]",1.84520840711895e-05
-11880,"Inside the UGA","MANHEIM TOWNSHIP",16146408.4893187,364,"(-1.188e+04,-1.185e+04]",2.25437130641651e-05
-12540,"Inside the UGA","MANHEIM TOWNSHIP",14438063.1696104,355,"(-1.257e+04,-1.254e+04]",2.45877854826963e-05
-13200,"Inside the UGA","MANHEIM TOWNSHIP",12634258.8372907,302,"(-1.322e+04,-1.319e+04]",2.39032620662029e-05
-13860,"Inside the UGA","MANHEIM TOWNSHIP",10020853.1882925,244,"(-1.387e+04,-1.384e+04]",2.43492241044974e-05
-14520,"Inside the UGA","MANHEIM TOWNSHIP",4066090.03809777,68,"(-1.456e+04,-1.449e+04]",1.67236827917889e-05
660,"Outside the UGA","MANHEIM TOWNSHIP",22427886.6524369,45,"(639,670]",2.00643068592959e-06
1320,"Outside the UGA","MANHEIM TOWNSHIP",14268021.1180536,34,"(1290,1321]",2.38295133702733e-06
1320,"Outside the UGA","MANHEIM TOWNSHIP",57695.5568138119,0,"(1290,1321]",0
1980,"Outside the UGA","MANHEIM TOWNSHIP",12261370.6923967,13,"(1972,2003]",1.0602403537201e-06
2640,"Outside the UGA","MANHEIM TOWNSHIP",10414751.7355402,40,"(2623,2654]",3.84070605000602e-06
3300,"Outside the UGA","MANHEIM TOWNSHIP",8684317.03819264,32,"(3274,3305]",3.68480329072138e-06
3960,"Outside the UGA","MANHEIM TOWNSHIP",7611665.08478104,21,"(3956,3987]",2.75892327974177e-06
4620,"Outside the UGA","MANHEIM TOWNSHIP",7408702.40613928,14,"(4607,4638]",1.8896696388289e-06
5280,"Outside the UGA","MANHEIM TOWNSHIP",8202763.51726956,26,"(5258,5289]",3.16966348539261e-06
5940,"Outside the UGA","MANHEIM TOWNSHIP",7717598.41479011,40,"(5909,5940]",5.18295949726322e-06
6600,"Outside the UGA","MANHEIM TOWNSHIP",7092876.43993102,35,"(6591,6622]",4.9345283674983e-06
7260,"Outside the UGA","MANHEIM TOWNSHIP",6394386.67771744,63,"(7242,7273]",9.85239135123569e-06
7920,"Outside the UGA","MANHEIM TOWNSHIP",6218332.10419792,28,"(7893,7924]",4.50281514895249e-06
8580,"Outside the UGA","MANHEIM TOWNSHIP",5161392.25895119,7,"(8575,8606]",1.35622321435853e-06
9240,"Outside the UGA","MANHEIM TOWNSHIP",1433757.94515271,2,"(9226,9257]",1.39493560036522e-06
-660,"Inside the UGA","EAST LAMPETER TOWNSHIP",72699319.9125971,1236,"(-663,-632]",1.70015345602405e-05
-660,"Inside the UGA","EAST LAMPETER TOWNSHIP",439.376690100296,0,"(-663,-632]",0
-660,"Inside the UGA","EAST LAMPETER TOWNSHIP",230.598910778761,0,"(-663,-632]",0
-1320,"Inside the UGA","EAST LAMPETER TOWNSHIP",26279843.3044809,268,"(-1345,-1314]",1.01979299075312e-05
-1320,"Inside the UGA","EAST LAMPETER TOWNSHIP",3819578.22138557,15,"(-1345,-1314]",3.92713517843829e-06
-1320,"Inside the UGA","EAST LAMPETER TOWNSHIP",3151344.20704226,65,"(-1345,-1314]",2.06261188018578e-05
-1320,"Inside the UGA","EAST LAMPETER TOWNSHIP",1757504.41820602,33,"(-1345,-1314]",1.87766242054088e-05
-1320,"Inside the UGA","EAST LAMPETER TOWNSHIP",39366.0967902094,0,"(-1345,-1314]",0
-1980,"Inside the UGA","EAST LAMPETER TOWNSHIP",24503711.4823823,278,"(-1996,-1965]",1.1345220098591e-05
-1980,"Inside the UGA","EAST LAMPETER TOWNSHIP",5898.83799139597,0,"(-1996,-1965]",0
-1980,"Inside the UGA","EAST LAMPETER TOWNSHIP",176552.585283799,5,"(-1996,-1965]",2.83201743659701e-05
-2640,"Inside the UGA","EAST LAMPETER TOWNSHIP",20058939.949672,320,"(-2647,-2616]",1.59529865886673e-05
-3300,"Inside the UGA","EAST LAMPETER TOWNSHIP",16588857.3501501,247,"(-3329,-3298]",1.48895125677697e-05
-3960,"Inside the UGA","EAST LAMPETER TOWNSHIP",14400287.8393849,181,"(-3980,-3949]",1.2569193200775e-05
